Station (alphabetical by borough)	2013	2014	2015	2016	2017	2018	2017-2018 Change	2017-2018 Change	2018 Rank	LINE
Sutter    Av-Rutland Rd *	"7,831"	"8,084"	"8,031"	"6,785"	"3,449"	"6,657"	"3,208"	93.00%	231	3
Union St 	"6,528"	"6,415"	"6,599"	"6,512"	"6,395"	"6,835"	440	6.90%	227	R
Utica Av   	"14,673"	"15,117"	"15,674"	"16,060"	"16,408"	"16,121"	-287	-1.70%	85	A-C
Van Siclen Av *	"3,431"	"3,438"	989	"4,194"	"3,660"	"2,904"	-756	-20.70%	371	3
Van Siclen Av 	"2,974"	"3,050"	"3,202"	"3,224"	"3,259"	"3,021"	-238	-7.30%	368	C
Van Siclen Av   	"2,883"	"2,940"	"3,004"	"3,067"	"2,900"	"2,678"	-222	-7.70%	376	J-Z
West 8 St-New    York Aquarium  *	"2,069"	"2,262"	"2,397"	"2,421"	"2,404"	"2,469"	65	2.70%	383	F-Q
Wilson Av *	"3,865"	"4,248"	"4,437"	"3,812"	"4,564"	"4,468"	-96	-2.10%	311	L
Winthrop St  	"7,639"	"7,720"	"7,541"	"7,272"	"7,317"	"7,262"	-55	-0.80%	205	5-Feb
York St 	"8,629"	"8,973"	"9,328"	"10,246"	"10,373"	"11,032"	659	6.40%	140	F
1 Av  	"23,467"	"24,286"	"23,789"	"23,195"	"21,823"	"20,998"	-825	-3.80%	65	L
103 St 	"13,500"	"13,318"	"13,309"	"13,246"	"12,818"	"12,569"	-249	-1.90%	122	1
103 St *	"16,189"	"16,641"	"13,057"	"13,994"	"14,337"	"13,285"	"-1,052"	-7.30%	114	6
103 St  	"4,760"	"4,832"	"4,800"	"4,776"	"4,674"	"5,444"	770	16.50%	272	B-C
110 St 	"12,162"	"12,452"	"13,409"	"13,341"	"11,932"	"10,851"	"-1,081"	-9.10%	142	6
116 St   	"11,508"	"11,787"	"12,196"	"12,090"	"11,553"	"10,707"	-846	-7.30%	147	3-Feb
116 St 	"16,675"	"16,674"	"16,702"	"16,707"	"15,899"	"14,715"	"-1,184"	-7.40%	100	6
116 St  	"6,594"	"7,005"	"7,215"	"7,417"	"7,232"	"7,613"	381	5.30%	198	B-C
116 St-Columbia University 	"16,363"	"16,460"	"16,132"	"15,861"	"15,263"	"15,079"	-184	-1.20%	97	1
125 St 	"7,995"	"8,077"	"7,991"	"7,794"	"7,584"	"7,679"	95	1.30%	195	1
125 St   	"15,351"	"15,744"	"15,986"	"15,719"	"15,692"	"14,746"	-946	-6.00%	99	3-Feb
125 St   	"29,425"	"30,168"	"30,277"	"30,024"	"29,065"	"27,605"	"-1,460"	-5.00%	37	4/5/2006
125 St    	"27,395"	"28,428"	"29,062"	"29,423"	"28,680"	"27,677"	"-1,003"	-3.50%	35	A-B-C-D
135 St   	"14,690"	"15,335"	"15,598"	"15,446"	"15,023"	"14,343"	-680	-4.50%	106	3-Feb
135 St  	"5,592"	"5,620"	"5,575"	"5,785"	"5,770"	"5,490"	-280	-4.90%	270	B-C
137 St-City College 	"14,947"	"14,768"	"14,798"	"14,460"	"14,049"	"13,371"	-678	-4.80%	112	1
14 St   /8 Av  	"42,718"	"43,953"	"45,253"	"44,680"	"43,434"	"44,031"	597	1.40%	18	A-C-E-L
14 St     /6 Av  	"49,316"	"49,990"	"50,335"	"50,692"	"48,565"	"48,508"	-57	-0.10%	16	F-M-1-2-3-L
14 St-Union Sq        	"108,158"	"109,472"	"108,440"	"106,718"	"107,141"	"103,572"	"-3,569"	-3.30%	4	L-N-Q-R-W-4-5-6
145 St 	"9,931"	"10,099"	"10,112"	"10,039"	"9,863"	"9,433"	-430	-4.40%	166	1
145 St *	"3,426"	"3,631"	"3,664"	"3,590"	"3,540"	"2,105"	"-1,435"	-40.50%	390	3
145 St    	"22,879"	"23,805"	"24,307"	"24,604"	"23,932"	"23,047"	-885	-3.70%	55	A-B-C-D
155 St  	"3,948"	"4,022"	"4,038"	"4,052"	"3,804"	"3,595"	-209	-5.50%	338	B-D
155 St 	"2,529"	"2,586"	"2,596"	"2,733"	"2,715"	"3,168"	453	16.70%	362	C
157 St 	"10,677"	"10,822"	"10,918"	"10,928"	"10,802"	"11,036"	234	2.20%	139	1
163    St-Amsterdam Av *	"4,080"	"4,271"	"4,340"	"4,513"	"4,436"	"1,711"	"-2,725"	-61.40%	407	C
168 St   	"25,041"	"25,659"	"25,845"	"25,879"	"25,589"	"26,138"	549	2.10%	42	A-C-1
175 St 	"13,309"	"13,460"	"13,224"	"13,377"	"13,217"	"12,580"	-637	-4.80%	121	A
18 St 	"8,505"	"8,638"	"8,800"	"8,903"	"8,680"	"8,860"	180	2.10%	172	1
181 St 	"11,228"	"11,673"	"11,850"	"11,578"	"11,693"	"11,342"	-351	-3.00%	135	1
181 St 	"10,404"	"10,861"	"11,237"	"11,294"	"10,981"	"10,760"	-221	-2.00%	146	A
190 St 	"4,546"	"4,549"	"4,683"	"4,748"	"4,719"	"4,574"	-145	-3.10%	306	A
191 St 	"8,258"	"8,580"	"8,619"	"8,545"	"8,419"	"8,032"	-387	-4.60%	189	1
2 Av 	"17,801"	"17,183"	"17,355"	"17,059"	"16,675"	"15,995"	-680	-4.10%	87	F
207 St 	"6,098"	"6,336"	"6,514"	"6,562"	"6,524"	"6,349"	-175	-2.70%	241	1
215 St 	"2,078"	"2,057"	"2,012"	"2,001"	"1,988"	"1,787"	-201	-10.10%	404	1
23 St 	"15,283"	"15,542"	"15,451"	"15,062"	"14,763"	"15,470"	707	4.80%	93	1
23 St 	"31,777"	"31,212"	"29,972"	"29,452"	"28,479"	"31,597"	"3,118"	10.90%	31	6
23 St  	"24,782"	"25,620"	"25,731"	"24,569"	"24,161"	"24,397"	236	1.00%	50	C-E
23 St  *	"28,749"	"29,327"	"30,652"	"31,078"	"30,758"	"18,416"	"-12,342"	-40.10%	76	F-M
23 St  	"22,760"	"24,060"	"25,973"	"26,693"	"25,007"	"26,381"	"1,374"	5.50%	40	R-W
28 St 	"15,149"	"15,568"	"15,620"	"15,253"	"14,740"	"14,797"	57	0.40%	98	1
28 St *	"23,696"	"23,856"	"24,470"	"24,130"	"23,081"	"12,019"	"-11,062"	-47.90%	129	6
28 St 	"11,607"	"12,407"	"13,271"	"13,680"	"13,256"	"14,302"	"1,046"	7.90%	107	R-W
3 Av 	"6,803"	"7,193"	"7,140"	"7,179"	"6,934"	"6,749"	-185	-2.70%	229	L
33 St 	"32,783"	"32,863"	"32,809"	"32,153"	"30,040"	"32,608"	"2,568"	8.50%	30	6
34 St-Herald    Square        	"122,517"	"125,355"	"126,776"	"125,682"	"127,664"	"126,576"	"-1,088"	-0.90%	3	B-D-F-M-N-Q-R-W
34    St-Hudson Yards 	 	 	"2,064"	"8,507"	"10,082"	"10,789"	707	7.00%	145	7
34 St-Penn    Station    	"90,042"	"92,693"	"92,176"	"90,524"	"85,585"	"85,180"	-405	-0.50%	6	1/2/2003
34 St-Penn    Station    	"83,717"	"85,634"	"84,778"	"82,584"	"78,904"	"80,346"	"1,442"	1.80%	7	A-C-E
42 St-Bryant    Pk    /5 Av 	"53,222"	"54,289"	"55,400"	"57,793"	"57,395"	"55,872"	"-1,523"	-2.70%	12	B-D-F-M-7
47-50    Sts-Rockefeller Center    	"61,099"	"62,693"	"63,803"	"62,283"	"61,478"	"61,027"	-451	-0.70%	11	B-D-F-M
49 St   	"25,356"	"26,546"	"25,459"	"27,077"	"26,519"	"25,911"	-608	-2.30%	44	N-W-R
5 Av-53 St  	"25,939"	"26,761"	"26,955"	"26,566"	"25,746"	"27,612"	"1,866"	7.20%	36	E-M
5 Av-59 St 	"18,394"	"19,245"	"18,957"	"18,637"	"16,871"	"16,638"	-233	-1.40%	81	N-W-R
50 St 	"26,192"	"27,251"	"26,927"	"26,362"	"25,932"	"26,268"	336	1.30%	41	1
50 St  	"19,406"	"20,993"	"20,828"	"20,921"	"20,502"	"19,757"	-745	-3.60%	69	C-E
57 St  *	"15,363"	"15,506"	"15,725"	"15,768"	"15,154"	"7,638"	"-7,516"	-49.60%	197	F
57 St-7 Av    	"28,159"	"29,414"	"29,976"	"30,311"	"35,390"	"37,870"	"2,480"	7.00%	24	N-Q-R-W
59    St-Columbus Circle     	"72,236"	"74,572"	"73,954"	"73,836"	"73,105"	"73,003"	-102	-0.10%	8	A-B-C-D-1
66 St-Lincoln    Center 	"23,651"	"24,311"	"24,631"	"24,064"	"22,918"	"22,890"	-28	-0.10%	56	1
68 St-Hunter    College 	"36,562"	"36,208"	"35,640"	"35,068"	"24,456"	"22,757"	"-1,699"	-6.90%	57	6
7 Av   	"15,800"	"16,833"	"17,356"	"17,538"	"17,334"	"17,947"	613	3.50%	77	B-D-E
72 St   	"40,853"	"40,639"	"40,506"	"40,450"	"38,957"	"39,477"	520	1.30%	23	1/2/2003
72 St  *	"9,067"	"9,361"	"9,443"	"9,448"	"8,803"	"4,472"	"-4,331"	-49.20%	310	B-C
72 St 	 	 	 	 	"28,145"	"30,253"	"2,108"	7.50%	33	Q
77 St 	"37,182"	"37,521"	"36,797"	"36,103"	"27,584"	"25,369"	"-2,215"	-8.00%	47	6
79 St 	"16,576"	"16,987"	"16,865"	"16,372"	"15,698"	"15,175"	-523	-3.30%	95	1
8 St-New York    University    	"16,597"	"17,248"	"17,902"	"18,305"	"16,994"	"17,192"	198	1.20%	80	R-W
81 St-Museum    of Natural History  	"13,663"	"13,935"	"14,129"	"14,140"	"13,313"	"15,383"	"2,070"	15.50%	94	B-C
86 St 	"19,766"	"20,221"	"20,145"	"19,757"	"18,882"	"19,325"	443	2.30%	73	1
86 St   	"64,741"	"65,634"	"65,948"	"64,793"	"45,882"	"43,169"	"-2,713"	-5.90%	20	4/5/2006
86 St  *	"11,236"	"11,605"	"11,594"	"11,809"	"10,681"	"6,007"	"-4,674"	-43.80%	253	B-C
86 St 	 	 	 	 	"23,722"	"25,455"	"1,733"	7.30%	46	Q
96 St   	"38,711"	"39,254"	"39,434"	"38,859"	"37,043"	"36,026"	"-1,017"	-2.70%	27	1/2/2003
96 St 	"26,232"	"26,529"	"28,060"	"26,939"	"18,983"	"17,447"	"-1,536"	-8.10%	78	6
96 St 	"9,815"	"10,203"	"10,365"	"10,425"	"9,733"	"9,924"	191	2.00%	162	B-C
96 St 	 	 	 	 	"17,150"	"19,318"	"2,168"	12.60%	74	Q
Astor Place 	"17,914"	"17,803"	"17,274"	"16,806"	"16,377"	"16,031"	-346	-2.10%	86	6
Bowery  	"2,743"	"3,015"	"3,325"	"3,504"	"3,715"	"3,738"	23	0.60%	333	J-Z
Bowling Green  	"30,640"	"34,830"	"31,556"	"31,522"	"29,395"	"28,646"	-749	-2.50%	34	5-Apr
Broad St  	"5,635"	"6,525"	"6,865"	"7,279"	"7,130"	"7,050"	-80	-1.10%	216	J-Z
Broadway-Lafayette    St    /Bleecker St 	"38,799"	"40,148"	"39,724"	"39,058"	"37,986"	"36,493"	"-1,493"	-3.90%	25	B-D-F-M-6
Brooklyn    Bridge-City Hall   /Chambers St  	"36,680"	"37,160"	"35,858"	"34,352"	"31,804"	"30,932"	-872	-2.70%	32	4-5-6-J-Z
Canal St 	"6,039"	"6,277"	"6,275"	"6,116"	"5,996"	"6,410"	414	6.90%	238	1
Canal St   	"19,738"	"19,974"	"20,103"	"19,660"	"19,789"	"20,424"	635	3.20%	67	A-C-E
Canal St       	"44,696"	"44,362"	"44,409"	"45,030"	"47,601"	"47,034"	-567	-1.20%	17	J-N-Q-R-W-Z-6
Cathedral    Pkwy-110 St 	"13,874"	"13,630"	"13,444"	"12,926"	"12,394"	"12,526"	132	1.10%	124	1
Cathedral    Pkwy-110 St  *	"7,117"	"7,253"	"7,490"	"7,553"	"7,523"	"3,785"	"-3,738"	-49.70%	330	B-C
Central Park    North-110 St  	"9,130"	"9,559"	"9,865"	"9,855"	"9,233"	"8,815"	-418	-4.50%	174	3-Feb
Chambers St   	"23,147"	"23,862"	"23,997"	"23,574"	"22,419"	"21,303"	"-1,116"	-5.00%	62	1/2/2003
Chambers St  /WTC /Park Place  	"58,923"	"61,076"	"66,165"	"67,906"	"70,356"	"72,396"	"2,040"	2.90%	9	A-C-E-2-3
Christopher    St-Sheridan Sq 	"10,076"	"10,060"	"9,898"	"9,792"	"9,570"	"9,675"	105	1.10%	163	1
City Hall  	"5,666"	"4,344"	"6,310"	"6,766"	"7,731"	"6,657"	"-1,074"	-13.90%	230	R-W
Delancey St /Essex St   	"23,691"	"24,154"	"24,902"	"25,625"	"24,993"	"24,562"	-431	-1.70%	49	F-J-M-Z
Dyckman St 	"6,564"	"7,112"	"7,233"	"7,297"	"7,231"	"7,002"	-229	-3.20%	218	1
Dyckman St 	"6,557"	"6,687"	"6,831"	"6,874"	"6,739"	"6,477"	-262	-3.90%	235	A
East Broadway 	"13,276"	"13,720"	"14,228"	"14,654"	"14,365"	"13,868"	-497	-3.50%	110	F
Franklin St 	"5,825"	"5,867"	"5,825"	"5,984"	"5,809"	"5,943"	134	2.30%	256	1
Fulton St        	"64,461"	"69,444"	"74,676"	"85,440"	"91,771"	"92,990"	"1,219"	1.30%	5	A-C-J-Z-2-3-4-5
Grand    Central-42 St     	"153,861"	"157,899"	"160,294"	"158,580"	"154,711"	"155,345"	634	0.40%	2	S-4-5-6-7
Grand St  	"23,770"	"24,153"	"24,281"	"24,649"	"24,460"	"23,422"	"-1,038"	-4.20%	53	B-D
Harlem-148 St  	"3,790"	"3,952"	"4,096"	"4,017"	"3,899"	"4,074"	175	4.50%	320	3
Houston St 	"15,736"	"15,878"	"15,286"	"15,333"	"15,283"	"15,698"	415	2.70%	88	1
Inwood-207 St 	"8,866"	"9,136"	"9,317"	"9,350"	"9,217"	"8,793"	-424	-4.60%	175	A
Lexington Av  /59 St   	"67,841"	"69,332"	"68,988"	"67,684"	"58,467"	"55,608"	"-2,859"	-4.90%	14	N-W-R-4-5-6
Lexington    Av-53 St  /51 St 	"69,973"	"70,606"	"70,686"	"69,750"	"66,118"	"64,499"	"-1,619"	-2.40%	10	E-M-6
Lexington    Av-63 St  	"15,404"	"15,493"	"16,098"	"16,988"	"20,893"	"21,394"	501	2.40%	61	F-Q
Marble    Hill-225 St 	"5,456"	"5,766"	"5,732"	"5,636"	"5,473"	"5,433"	-40	-0.70%	273	1
Prince St  	"15,261"	"15,404"	"15,597"	"15,424"	"14,400"	"14,408"	8	0.10%	105	R-W
Rector St 	"11,323"	"10,869"	"10,625"	"9,788"	"9,453"	"9,005"	-448	-4.70%	170	1
Rector St 	"5,362"	"4,127"	"6,157"	"6,524"	"7,092"	"7,185"	93	1.30%	212	R-W
Roosevelt    Island 	"6,321"	"5,998"	"6,197"	"6,630"	"7,354"	"7,153"	-201	-2.70%	214	F
South Ferry /Whitehall St *	"20,405"	"23,017"	"28,809"	"29,534"	"33,019"	"33,797"	778	2.40%	29	1-R-W
Spring St 	"12,257"	"12,327"	"11,543"	"11,390"	"11,019"	"10,822"	-197	-1.80%	144	6
Spring St  	"13,136"	"13,319"	"12,914"	"12,775"	"12,360"	"13,054"	694	5.60%	117	C-E
Times Sq-42    St        /42 St   	"197,696"	"204,908"	"206,247"	"202,363"	"203,545"	"204,017"	472	0.20%	1	N-Q-R-W-S-1-2-3-7-A-C-E
Wall St  	"26,706"	"28,075"	"27,242"	"27,291"	"26,022"	"23,968"	"-2,054"	-7.90%	52	3-Feb
Wall St  	"25,078"	"25,619"	"23,595"	"22,211"	"20,420"	"19,745"	-675	-3.30%	70	5-Apr
West 4    St-Washington Sq       	"40,798"	"41,968"	"42,760"	"42,755"	"41,835"	"40,666"	"-1,169"	-2.80%	22	A-B-C-D-E-F-M
WTC Cortland  *	0	0	0	0	0	"3,558"	"3,558"	100.00%	339	1
103 St-Corona Plaza 	"19,216"	"19,814"	"20,044"	"20,282"	"20,101"	"19,682"	-419	-2.10%	71	7
104 St *	"1,736"	"1,333"	"1,890"	"2,189"	"1,900"	"1,841"	-59	-3.10%	401	A
104 St  *	"2,575"	"2,659"	"2,710"	"2,758"	"1,727"	"1,587"	-140	-8.10%	409	J-Z
111 St 	"10,914"	"11,091"	"11,198"	"11,421"	"11,384"	"11,091"	-293	-2.60%	138	7
111 St *	"2,718"	"2,815"	"2,727"	"1,947"	"2,571"	"2,596"	25	1.00%	381	A
111 St 	"2,605"	"2,596"	"2,627"	"2,607"	"3,235"	"2,819"	-416	-12.90%	373	J
121 St  *	"2,222"	"2,397"	"2,462"	"2,500"	"1,135"	"1,354"	219	19.30%	412	J-Z
169 St 	"9,042"	"9,106"	"9,138"	"9,016"	"8,671"	"8,109"	-562	-6.50%	188	F
21 St *	"1,309"	"1,265"	"1,564"	"1,735"	"1,863"	"1,757"	-106	-5.70%	405	G
21    St-Queensbridge 	"8,761"	"8,914"	"9,447"	"9,779"	"10,209"	"10,840"	631	6.20%	143	F
30 Av  *	"14,802"	"14,897"	"14,771"	"14,739"	"11,381"	"8,286"	"-3,095"	-27.20%	184	N-W
33 St-Rawson    St 	"14,246"	"14,256"	"13,604"	"13,302"	"12,429"	"11,029"	"-1,400"	-11.30%	141	7
36 Av *	"7,688"	"7,577"	"7,447"	"7,347"	"5,525"	"5,073"	-452	-8.20%	285	N-W
36 St  	"4,540"	"4,597"	"4,733"	"4,776"	"4,786"	"5,177"	391	8.20%	281	M-R
39 Av-Dutch kills *	"3,262"	"3,504"	"3,391"	"3,207"	"3,267"	"2,356"	-911	-27.90%	387	N-W
40 St-Lowery    St 	"11,100"	"11,211"	"11,053"	"11,089"	"10,624"	"9,954"	-670	-6.30%	161	7
46 St  	"9,529"	"9,608"	"9,439"	"9,362"	"9,049"	"8,752"	-297	-3.30%	177	M-R
46 St-Bliss    St 	"14,656"	"14,634"	"14,413"	"14,335"	"13,614"	"12,828"	-786	-5.80%	118	7
52 St 	"6,830"	"6,951"	"6,888"	"6,795"	"6,495"	"6,001"	-494	-7.60%	254	7
63 Dr-Rego    Park  	"16,334"	"16,771"	"16,770"	"16,868"	"16,323"	"15,574"	-749	-4.60%	92	M-R
65 St  	"3,532"	"3,647"	"3,762"	"3,747"	"3,621"	"3,601"	-20	-0.60%	337	M-R
67 Av  	"9,475"	"9,544"	"9,548"	"9,479"	"9,181"	"8,774"	-407	-4.40%	176	M-R
69 St 	"5,085"	"5,128"	"4,988"	"5,072"	"4,973"	"4,679"	-294	-5.90%	301	7
74-Bway /Jackson Hts-Roosevelt Av    	"50,841"	"51,285"	"51,925"	"52,296"	"52,018"	"51,766"	-252	-0.50%	15	7-E-F-M-R
75 Av  	"3,763"	"3,742"	"3,756"	"3,710"	"3,365"	"3,455"	90	2.70%	343	E-F
75 St-Elderts    Ln  	"3,759"	"3,777"	"3,837"	"3,837"	"3,641"	"3,464"	-177	-4.90%	342	J-Z
80 St *	"4,291"	"4,664"	"4,445"	"3,574"	"4,416"	"4,316"	-100	-2.30%	317	A
82 St-Jackson    Hts 	"15,662"	"15,899"	"15,711"	"15,765"	"15,393"	"14,626"	-767	-5.00%	101	7
85 St-Forest    Pkwy 	"3,792"	"3,860"	"3,947"	"3,968"	"3,923"	"3,699"	-224	-5.70%	334	J
88 St  *	"2,719"	"2,065"	"3,464"	"3,221"	"2,965"	"2,835"	-130	-4.40%	372	A
90    St-Elmhurst Av 	"16,743"	"16,747"	"16,814"	"16,957"	"16,848"	"16,253"	-595	-3.50%	84	7
Aqueduct    Racetrack 	551	1597	1711	1739	1672	"1,901"	229	13.70%	398	A
Aqueduct-North    Conduit Av 	"1,951"	"1,122"	"1,181"	"1,125"	"1,031"	921	-110	-10.70%	417	A
Astoria Blvd 	"12,210"	"12,209"	"12,344"	"12,358"	"13,103"	"14,425"	"1,322"	10.10%	104	N-W
Astoria-Ditmars    Blvd 	"17,039"	"17,178"	"17,181"	"17,345"	"16,686"	"15,663"	"-1,023"	-6.10%	89	N-W
Beach 105 St  *	141	260	305	289	278	261	-17	-6.10%	424	A-S
Beach 25 St *	904	1722	1861	1968	1925	"1,792"	-133	-6.90%	403	A
Beach 36 St *	466	872	936	975	962	887	-75	-7.80%	418	A
Beach 44 St *	297	581	624	676	690	693	3	0.40%	420	A
Beach 60 St *	"1,317"	"2,448"	"2,501"	"2,507"	"2,319"	"2,013"	-306	-13.20%	396	A
Beach 67    St-Arverne By The Sea *	"1,118"	"2,183"	"2,407"	"2,493"	"2,440"	"2,103"	-337	-13.80%	391	A
Beach 90 St  *	463	846	946	939	1110	"1,097"	-13	-1.20%	413	A-S
Beach 98 St  *	292	563	608	579	531	481	-50	-9.40%	422	A-S
Briarwood-Van    Wyck Blvd  	"4,664"	"4,695"	"4,876"	"5,057"	"5,061"	"4,913"	-148	-2.90%	287	E-F
Broad Channel  *	127	251	310	313	302	285	-17	-5.60%	423	A-S
Broadway *	"13,280"	"13,515"	"13,236"	"12,957"	"13,242"	"8,473"	"-4,769"	-36.00%	179	N-W
Court Sq    	"20,446"	"22,433"	"22,717"	"23,317"	"23,672"	"23,995"	323	1.40%	51	E-G-M-7
Elmhurst Av  	"13,597"	"13,568"	"13,588"	"13,508"	"12,967"	"12,463"	-504	-3.90%	125	M-R
Far    Rockaway-MottAv *	"2,651"	"4,748"	"4,989"	"5,009"	"4,738"	"4,435"	-303	-6.40%	314	A
Flushing-Main    St 	"60,190"	"60,252"	"60,226"	"60,259"	"58,511"	"55,669"	"-2,842"	-4.90%	13	7
Forest Av *	"4,103"	"4,210"	"4,386"	"4,429"	"2,819"	"3,124"	305	10.80%	365	M
Forest    Hills-71 Av    	"27,728"	"27,784"	"28,209"	"28,135"	"27,760"	"26,613"	"-1,147"	-4.10%	38	E-F-M-R
Fresh Pond Rd *	"5,333"	"5,677"	"6,002"	"6,130"	"4,223"	"4,716"	493	11.70%	299	M
Grand    Av-Newtown  	"18,298"	"18,413"	"18,955"	"19,373"	"18,754"	"18,489"	-265	-1.40%	75	M-R
Howard    Beach-JFK Airport 	"4,972"	"2,835"	"3,059"	"3,011"	"3,292"	"3,376"	84	2.60%	348	A
Hunters Point    Av 	"6,400"	"6,666"	"6,803"	"7,292"	"7,283"	"7,205"	-78	-1.10%	210	7
Jamaica    Center-Parsons-Archer   	"41,686"	"42,261"	"42,115"	"41,603"	"39,326"	"36,368"	"-2,958"	-7.50%	26	E-J-Z
Jamaica-179    St 	"23,280"	"23,093"	"23,417"	"23,121"	"22,421"	"21,452"	-969	-4.30%	60	F
Jamaica-Van    Wyck 	"4,992"	"5,121"	"5,092"	"5,022"	"4,972"	"4,717"	-255	-5.10%	298	E
Junction Blvd 	"20,818"	"21,116"	"21,557"	"22,051"	"21,751"	"21,100"	-651	-3.00%	64	7
Kew    Gardens-Union Turnpike  	"28,289"	"27,693"	"27,558"	"27,085"	"26,493"	"25,536"	-957	-3.60%	45	E-F
Mets-Willets    Point 	"4,675"	"4,555"	"5,244"	"5,367"	"5,028"	"4,606"	-422	-8.40%	305	7
Middle    Village-Metropolitan Av *	"4,092"	"4,318"	"4,489"	"4,530"	"3,064"	"3,225"	161	5.30%	355	M
Northern Blvd  	"7,235"	"7,431"	"7,428"	"7,413"	"7,107"	"6,904"	-203	-2.90%	224	M-R
Ozone    Park-Lefferts Blvd 	"7,476"	"7,641"	"7,732"	"8,023"	"7,722"	"7,591"	-131	-1.70%	199	A
Parsons Blvd 	"6,463"	"6,540"	"6,640"	"6,644"	"6,593"	"6,462"	-131	-2.00%	236	F
Queens Plaza   	"9,696"	"10,125"	"10,475"	"10,652"	"11,369"	"12,747"	"1,378"	12.10%	119	E-M-R
Queensboro    Plaza  	"11,132"	"11,554"	"11,786"	"12,936"	"13,502"	"14,517"	"1,015"	7.50%	103	N-W-7
Rockaway Blvd *	"8,662"	"8,474"	"5,690"	"7,683"	"7,786"	"7,534"	-252	-3.20%	201	A
Rockaway    Park-Beach 116 St  *	379	677	747	727	683	696	13	1.90%	419	A-S
Seneca Av *	"2,428"	"2,545"	"2,726"	"2,832"	"1,576"	"1,818"	242	15.40%	402	M
Steinway St  	"14,769"	"14,870"	"14,895"	"14,836"	"14,867"	"15,590"	723	4.90%	91	M-R
Sutphin Blvd 	"4,932"	"4,795"	"4,851"	"4,652"	"4,496"	"4,291"	-205	-4.60%	318	F
Sutphin    Blvd-Archer Av-JFK Airport   	"23,012"	"23,747"	"24,349"	"24,796"	"23,843"	"23,388"	-455	-1.90%	54	E-J-Z
Vernon    Blvd-Jackson Av 	"12,610"	"14,123"	"14,819"	"15,910"	"15,781"	"15,093"	-688	-4.40%	96	7
Woodhaven    Blvd  	"4,576"	"4,796"	"4,940"	"4,838"	"5,104"	"4,771"	-333	-6.50%	294	J-Z
Woodhaven    Blvd  	"22,276"	"22,156"	"22,220"	"22,483"	"21,879"	"20,704"	"-1,175"	-5.40%	66	M-R
Woodside-61 St 	"16,559"	"16,807"	"17,007"	"17,236"	"16,945"	"16,501"	-444	-2.60%	83	7